,anonymize_text
23,"These were the brighter spots in NAME’s memories. They were pleasant to dwell upon; but they could not relieve the general gravity of the case. A very sober youth it was who dressed mechanically and in due course appeared at breakfast. A deal to his surprise his father and mother greeted him quite as usual. There was nothing to suggest that they regarded him either as a repentant offender or as a hero. At DATE-school he had another experience of the same sort; for his friends hailed him with matter-of-fact heartiness. Both Step and Poke appeared to have lived down their domestic unpopularity, resulting from the incident of the hungry hound, and to be disposed to regard the world[90] cheerfully, with no suspicion that he was not entirely of their way of thinking.

There was interest displayed in the news that NAME, after a night in the lock-up, had been released from custody; but it occurred to none of NAME’s chums to connect the circumstance with his adventures as a deer hunter. NAME, presented with his freedom, had walked off, mumbling and grumbling. The popular theory was that, sooner or later, he would try to “get even” with the Major, his old grudge being heightened by the recent episode.

“Funny how the Major let up on him!” Poke ruminated. “Well, you never can tell what’ll happen. But I guess there must have been some weak spot, after all, in the case. If there wasn’t, the Major would have hung on like a bulldog.”

“Gee, but I wouldn’t have him after me—not for a farm!” quoth Step.

NAME held his peace. He might have shed fresh light upon the peculiarities of the old soldier, but the present time was not opportune. He had little share in the talk as the boys walked home together; and the[91] mood of silence held him through dinner. Then his father proposed a stroll, and the boy accepted the invitation.

On the top of a hill overlooking the town—not only a sightly place but also one ensuring freedom from interruption—father and son had their discussion calmly and deliberately.

“NAME,” Mr. NAME began, “I’m not going to preach a sermon, but I’m going to take a text. You supplied it when you told me last night that you didn’t regard lack of direct prohibition as making a very good excuse for what you did. The trouble is, you reached that opinion after the fact. In the beginning, I dare say, it seemed quite reasonable to do the thing which wasn’t forbidden.”

“Well, sir, I—I did it,” said NAME sheepishly.

“Exactly! And, in doing it, you yielded to impulse.”

“I sup-suppose so.”

“You had no wish, no intention, to harm anybody,” Mr. NAME went on. “You desired to go hunting—I’ve felt the desire; I know what it is. Then there was my gun, fairly thrusting itself upon you—seemed that way, didn’t it?”

[92]

“You’re telling it, sir, as if you’d stood in my shoes.”

“Many a time! I’ve been a boy myself. Also I haven’t forgotten, NAME, the scrapes into which I fell. Some of them taught me a lesson—a lesson you’ll have to learn DATE. But to get back to the gun. There it was, ready to your hand. You took it. You put a supply of cartridges in your pocket. Your mother was not at home. You were too impatient to await her return. So off you hurried, taking chances, but meaning no harm. You were very sure of yourself; you knew something about firearms; you were confident that you wouldn’t hurt yourself or anybody else. You thought you were extremely careful in the woods. Yet there you took another chance, still meaning no harm, but barely escaping homicide.”

“I know that, sir.”

“You can count yourself most fortunate that the results were not more serious. But I won’t dwell upon what might have happened. What did happen was quite enough to give you food for thought, and to point the moral of your experience. And that is that before NAME] go ahead you should do your best to be sure you’re right.”

“After this I’ll be sure!”

Mr. NAME smiled a little oddly. “I ask only, NAME, that you do your best to be sure. Often you have to take risks—the practical point is to avoid the unnecessary risks. Hear me through! At sixteen you’re not going to develop the wisdom and foresight of a grown man. I’m not going to demand the impossible. I am going, though, to urge you to profit by the mistakes you’ve made—and that, NAME, is the one best use to make of mistakes.”

“You mean, not to repeat ’em?”

“That is precisely my meaning.”

“Trust me!” cried NAME, with conviction.

“I am going to trust you,” said his father. “In the first place, I am going to assume that we have no need to talk about punishment; perhaps you’ve had a reasonable amount of it as it is, for I suspect you have passed some very trying hours. At the same time, though, I’m not prepared to treat this affair as a wholly closed chapter. I think it will be better for all concerned if you regard yourself, for DATE, as on probation.”

[94]

“I don’t quite understand.”

“Well, in other words, you may consider yourself as under test. And the test will be the extent to which you have profited by what has taken place.”

“Oh!” said NAME. “Then you’re waiting to see if I’ve really learned the lesson?”

“You have the idea.”

"
24,"Suddenly, from another direction—straight across the ravine and near the top of the ridge—came[37] sounds of movements in the undergrowth. Instinctively, NAME brought the gun to his shoulder; its muzzle barely protruded from the branches. His finger trembled on the trigger. And then his eager eye had a glimpse of a darker patch amidst the dried leaves, a patch which seemed to be moving very, very slowly.

NAME had heard tales of “buck fever,” and had laughed at the plight of its victims; but now he could sympathize with them. His heart was pumping furiously; he was trembling from head to foot; every muscle seemed to be relaxed and helpless. And, as if to mock him, that dark spot across the ravine grew clearer and more distinct. It was too high from the ground to suggest the presence of any of the smaller animals likely to be found in the woods.

“That—that’s a deer over there!” NAME told himself desperately. “It—it can’t be anything else!”

With an effort he summoned all his will. The swaying barrels along which he glanced steadied. His finger pressed the trigger. There was a roar which seemed to him as loud as[38] thunder. His right shoulder ached under what was like a smart blow from the butt of the gun. A thin wisp of smoke blew away from the muzzle, and was lost in the branches.

On the other side of the gully was violent commotion. The dark spot vanished. In its stead appeared the bare head of a man!

NAME uttered a queer, faint, choking cry of horror. The gun dropped from his hands. His head sank to the ground, and he lay, face downward, for the moment utterly overcome. Through his recklessness and folly he had shot a fellow being. Terrible certainty was his that he had not missed his aim, and that he had wounded, perhaps fatally, the victim of his criminal carelessness. There flashed upon him all the possible consequences of his act—arrest, imprisonment, disgrace; sorrow and suffering for his parents; pain and anguish for the stranger, even if he survived his wounds.

For a little NAME closed his eyes, but he could not keep from his ears the ominous sounds from the other ridge. The man had not cried out; but there was a wild NAME] of brush, as if he were writhing convulsively in the thicket. Presently the sounds grew less distinct. The man must be weakening from loss of blood! NAME’s imagination pictured him lying in a crimson pool, and the boy shuddered at the thought. Yet it nerved him to the duty which he knew was his to do.

NAME had faults enough, but lack of courage to face the music, as the saying goes, was not among them. Plainly, the way for retreat was open for him, if he chose to take it; there was nobody to interfere. But NAME, once he had recovered somewhat from the shock of his disaster, set himself resolutely to the task of making such amends as he might.

He crawled out of the protecting bushes, and got upon his feet. For a moment or two he stood, listening intently; but now there was no sound from beyond the ravine. Then, with a sort of grim and unhappy determination, he began to descend the slope. At the bottom he paused again, but heard nothing either to lessen or to increase his anxiety. Then he went on, climbing doggedly and steadily to the clump where first had appeared the dark spot, and then the head of a man.[40] The quiet of the place was unbroken. A new and terrible fear laid hold upon him: perhaps the wounded man had already succumbed. It needed all his grit and courage at last to part the branches and look in at the spot where the man had stood.

NAME looked, and looked again; and felt that he could not believe the evidence of his eyes. For three or four feet in each direction the brush had been trampled down, but there was nobody there!

A great sense of relief filled the boy. At all events, he had not killed anybody! There was even a second in which he cherished wild hope that what he had seen had been merely a vision raised by some trick of over-taxed nerves. But the hope was doomed to swift dismissal. There was blood on the dried leaves on the ground—not much blood, to be sure, but enough to make a fresh, dark stain.

Kneeling, NAME examined the sanguinary traces very carefully. As he rose, his expression curiously combined satisfaction and bewilderment. It was manifest that the stranger’s wound had neither bled copiously nor crippled him; and that he had been able to[41] make off. But whither had he gone? Why had he not charged across the gully? And why had he not raised a warning shout to prevent a second shot?

“Jiminy!” said NAME to himself. “Jiminy! but I don’t believe he got sight of me at all! I was covered by the bushes, and there was hardly any smoke, and if he were looking another way—why—why——” He broke off, frankly unable to weigh and decide the probabilities of the strange affair.

There still remained the possibility of finding and following the man’s trail; but NAME was not especially skilled in such matters. He fancied that for a few yards he could make out evidences of somebody forcing a way through the undergrowth, but then he came to a sort of woods path along the backbone of the ridge, and there lost the slender clews upon which he had depended. Certainly he could discover no more drops of blood.

NAME went back to the trampled space, and searched it minutely from end to end, and from side to side. He had his trouble for his pains. He found nothing to throw light upon the mystery.

[42]

“Well, this does beat me!” he confessed, and shook his head in perplexity. “I never heard of anything like it. And I don’t want to hear of anything like it again—ugh!” He gave a little shiver. “I know when I’ve had enough—and too much. I’m going home, and I’m going to get there, and put up this gun, as quick as my legs will carry me to the house. And you can bet I’m going to keep quiet about this. And—and I hope the other fellow will keep quiet, too. Come now, NAME! Brace up! Forward march!”

Thus encouraging himself, NAME set off at a round pace for the highway, but when he reached it his speed lessened. He had a new sense of merciful escape from perils when he was out of the dark woods and in the open road; and with it came a peculiar weakness and uncertainty in his knees. He was glad to sit down on a boulder beside the ditch and rest for what seemed to him a long, long time. Finally he rose, and trudged toward the town. He went slowly, and his face was thoughtful."
25,"Subject: NAME: 01/01/1988

Progress Note: 01/05/2021
Chief Complaint: Follow-up of acute gastritis

Assessment: NAME returned for a follow-up visit. She reported improvement in her symptoms, with less abdominal pain and nausea. Vital signs are within normal limits.

Plan: Continue current medications, advise dietary changes, and schedule a follow-up visit in DATE."
26,"Subject: NAME: 02/02/1987

Progress Note: 01/05/2021
Chief Complaint: Follow-up of acute pharyngitis

Assessment: NAME returned for a follow-up visit. He reported improvement in his symptoms, with no more sore throat or dysphagia. Vital signs are within normal limits.

Plan: Discontinue current medications, advise warm liquids and rest, and schedule a follow-up visit in DATE."
27,"“Why didn’t he have the other fellow locked up in NAME’s place?”

“Jiminy! that’s a good point!” cried Poke.

NAME said nothing, and for a moment the three trudged on in silence.

“Oh, well,” said Poke at last, “the Major knows now, but we’ll know sooner or later.”

[104]

“How’s that?” NAME asked quickly.

Poke shrugged his shoulders. “Oh, things are bound to come out. They always do. It’s just like a dog burying a bone—if he doesn’t dig it up, some other dog will.”

“Don’t you believe a secret can be kept?”

“Well, I can’t remember keeping many myself,” chuckled Poke. “And they say murder will out, you know. This wasn’t murder, of course, but it came uncomfortably near it.”

“It sure did!” agreed Step.

NAME dug his hands deeper in his pockets. Being human, and companionable, and very fond of Poke and Step, he had been sorely tempted to confide in his friends. But the Major had warned him not to gossip about the affair, and the Major’s wish naturally had great weight. As for ORGANIZATION’s theory that the story would become known generally, sooner or later—well, NAME had his doubts. So far as he knew, only his parents and the Major shared with him knowledge of what had happened in the woods.

In school that day NAME studied hard and paid close attention to the recitations. That[105] was part of his plan for proving to his father that he could deserve confidence. When the class was dismissed, he made careful selection of the books he would need for home study, and so was a little behind his mates in leaving the building. Within a hundred yards of the school-ground gates, however, he overtook a group of boys, clustered closely about two disputants. One, as he saw, was Step; the other, NAME.

From a little distance the NAME was regarding the squabble through his big glasses.

“What’s the row about?” NAME asked as he came up.

“Nothing!” said the Shark. “That’s why they’re making such a fuss.”

NAME laughed, but quickly grew serious. Both Step and NAME were talking loudly, each hurling threats and defiance at the other; Step’s long arms were going like a windmill’s, while Orkney’s fists were doubled. From his acquaintance with the methods of adolescent controversy it appeared to be probable that words were about to lead to blows.

“Just one of Orkney’s grouches,” the Shark went on indifferently. “He’s been ruffling[106] his feathers at Step ever since that business in ORGANIZATION DATE.”

NAME nodded. “That, eh? But they’re going too far—they’ll be mixing it up.”

“Well, Step’s got the reach by fully four inches.”

“Maybe, but ORGANIZATION’s a tough customer.”

The Shark turned, and deliberately inspected NAME from head to foot. “You could do him up,” he said with cold-blooded calmness.

“Perhaps. That isn’t saying Step could, though. He hasn’t weight enough.”

At this instant Orkney, catching sight of NAME in the background, changed his tactics. He moved away from Step, and lowered his hands.

“So that’s the game, is it?” he taunted. “Keep blustering, but be sure not to hit a fellow till your gang’s here to back you—that’s your way, ORGANIZATION. Had to wait for NAME, didn’t you?”

Step’s anger was that of the patient man, slow to kindle but hard to extinguish. He struck at his opponent, but long as his arm was, missed him by inches.

[107]

NAME instinctively started forward, and forced a way through the ring. NAME fell back a pace.

“That’s right! Pile on—the whole gang of you!” he shouted.

Step, for his part, was more than ready to accept the challenge; but NAME intervened. Impulse—he was willing enough to fight Orkney—had yielded to sobering second thought. It behooved a young man, intent upon establishing his self-control and common sense, to avoid brawling over a trifle on the public street. NAME’s hand caught Step’s collar.

“Here! Drop the fighting!” he commanded.

Step wriggled, but the grip on his collar did not yield.

“Oh, let me at him!” he begged. “We might as well have it out—he’s been pestering me for DATE.”

“Never mind! He’ll stop it now.”"
28,"Subject: NAME: 01/01/1988

Progress Note: 01/05/2021
Chief Complaint: Follow-up of acute gastritis

Assessment: NAME returned for a follow-up visit. He reported improvement in his symptoms, with no more abdominal pain or nausea. Vital signs are within normal limits.

Plan: Continue current medications, advise a bland diet, and schedule a follow-up visit in DATE.

"
29,"Subject: NAME: 01/01/1988

Progress Note: 01/05/2021
Chief Complaint: Follow-up of acute gastritis

Assessment: NAME returned for a follow-up visit. He reported improvement in his symptoms, with no more abdominal pain or nausea. Vital signs are within normal limits.

Plan: Continue current medications, advise a bland diet, and schedule a follow-up visit in DATE.

"
30,"It may throw light upon the personality of Master NAME to explain that he was equally well known as NAME and ORGANIZATION,” neither being used offensively, though one had a suggestion of mildness and the other of ferocity. He was, in fact, a little fellow, slender, stoop-shouldered, and physically the weakest boy in the class. Yet no other junior was less teased or picked upon. Practical jokers passed by NAME. There was a gravity about him, not owlish, but distinctly discouraging to frivolity; and an almost hypnotic influence in his meditative and unwavering gaze. He had the prominent eyes of the near-sighted; and he had, too, the unconscious trick of staring steadfastly at man or thing of whose very existence he was barely conscious; and as he stared through big, round lenses, set in a heavy black frame, the effect was impressive, if not terrifying. Consequently, even the most mischievous of his mates preferred to let him alone, especially as they had honest respect for his signal ability in his specialty.

NAME was a mathematician born. Languages he endured as unavoidable ORGANIZATION] of study; but he reveled in equations and demonstrations, made child’s play of the required algebra and geometry—thereby earning his nickname of the “Shark”—and carried on advanced work under the eye of the principal, himself an adept of the mathematical brotherhood. NAME, of course, was destined for scientific courses at college; but meanwhile, tarrying with the junior class, he filled his contemporaries with wonder and admiration. For example, he solved at sight a problem to which NAME had devoted vain and wearisome hours. It was all in the day’s work for the NAME, but ORGANIZATION noted another score to be repaid with compound interest.

NAME had been a witness of NAME’s discomfiture on both occasions; but, as may be imagined, was not concerning himself deeply with the sullen youth’s moods. As he himself would have put it, he had troubles enough of his own, and was fully occupied with his own affairs when he went to school on DATE morning. On the way he fell in with Step and Poke. The latter was full of the mystery attending the release of NAME.

[102]

“It’s mighty queer—our folks were talking it over at breakfast,” said he. “Course, there was a mistake somewhere, or Major NAME never would have let him go. But NAME didn’t let out a word—just growled, and grumbled, and took himself off, shaking his head. He wouldn’t deny that he shot the Major. The police asked him about it, but he gave them no satisfaction. He’s a bad one, I tell you! Regular Indian, if he gets down on anybody!”

“All the more wonder that the Major dropped the case,” declared Step. “He knows NAME from A to Z.”

Poke wagged his head. “There you are! Makes the business all the queerer. Each of them is a sticker, in his own way. And the Major had NAME just where he wanted him. And then, all of a sudden, he let up! What do you make of that, now?”

“Beats me,” Step confessed.

“What’s your notion, NAME?”

NAME did not meet ORGANIZATION’s inquiring glance. “I think,” he said slowly, “that something must have happened to show the Major that NAME hadn’t shot him.”

[103]

“Huh! How do you make that out?” queried Step.

“That’d mean somebody else did the shooting,” observed ORGANIZATION, the philosopher. “The Major was hit, fast enough—peppered in the head and in one hand. And he didn’t do it himself.”

“Of course not,” said NAME.

“Therefore, some one else did. The Major was sure NAME was the some one. Then he wasn’t sure. In between he’d found out something. NAME would remark.”

“NAME,” repeated NAME, for want of anything better.

Step grunted. “Huh! Bet you he’d found out who was who and what was what! But that just thickens the fog.”

“How so?”

"
31,"Subject: NAME: 02/02/1987

Progress Note: DATE
Chief Complaint: Acute pharyngitis and sore throat

Assessment: NAME presented with a sore throat and dysphagia for DATE. Vital signs are within normal limits. A throat swab showed evidence of acute pharyngitis.

Plan: Prescribe antibiotics, advise warm liquids and rest, and monitor symptoms.

"
32,"“It’s the biggest kind of a pity,” NAME agreed. “This affair is no joke, ORGANIZATION. If that stone had struck one of us—whew!”

Poke laid a hand on NAME’s arm. “Come now!” He dropped his voice almost to a whisper. “Fellow who threw that stone was pretty savage, or crazy, or—or revengeful. And—and you won’t need maps or foot-notes to understand who I reckon he is.”

“I wouldn’t ask but one guess,” said NAME.

Poke was silent for a moment, listening intently. “The others have had no better luck than we,” he reported. “Might as well go back, I suppose.”

“All right,” NAME agreed, and they moved toward the club-house.

Meanwhile the Shark, who had picked himself up from the floor and found that[143] he was none the worse for his upset, had been making an investigation on his own account. First, he raised the big stone, shifting it meditatively from one hand to the other, as if he were estimating its weight. Then he crossed to the window and measured the height from the floor of the jagged hole in the glass. This done, he furrowed his brow, pulled out pencil and note-book from his pockets, and fell to making a calculation of some sort. He was still engaged in this when NAME and ORGANIZATION entered.

“No luck!” Poke informed him. “The fellow got away.”

The Shark didn’t look up. “Hm-m! Thought he would.”

“So that’s why you didn’t try to chase him?”

“Partly. ’Nother reason was that I wanted to do some figuring.”

“On what?”

“Oh, don’t bother me!” snapped the Shark. “I’m right in the midst of things.”

Poke frowned. “You needn’t be so snippy. NAME and I have done some figuring, too, and we’ve been quicker about it than you. And we know—what we know.”

[144]

The Shark raised his eyes. “Umph! Don’t be too all-fired sure,” he counseled.

Poke took a step toward him. “See here, you owl! Our figuring has made us certain—morally certain, that is—that we know who threw that stone.”

Usually the gaze of the NAME was unwavering, but now he was blinking rapidly.

“Go slow, ORGANIZATION,” said he. “Moral certainty doesn’t answer problems in mathematics.”

“NAME! This isn’t mathematics.”

“’Deed it is!”

“Hold on, boys!” said NAME. “You’re getting nowhere. Now, NAME, listen! Poke and I believe that NAME did this thing. We hate to think he would, but we believe it because——”

“Because you’re wrong. NAME couldn’t have done it—at least, I don’t admit that he could. It won’t work out that way.”

“Work out?”

The Shark nodded. “Of course, I have to depend on estimates, and I don’t pretend that I can show exact results,” he began; but paused as Step strode into the room, closely pursued by NAME and the ORGANIZATION.

[145]

In the middle of the floor Step halted. Not a word said he, but raised a hand dramatically.

The hand held an object, recognized at sight by every boy there. It was the cap, owned by NAME, which had figured in the celebrated quarrel.

"
33,"Oh, I will, will I?” snarled Orkney. “I’d like to know who’s going to make me!”

“I might,” said NAME simply.

“Bah! Dare you to try—alone!”

[108]

“That’s the way I will try it—DATE,” NAME told him. “But not now; no, not now.”

“That’s right—safety first!” sneered the other.

NAME grinned; and it was an odd grin. “Certainly; safety first!” said he.

Step ceased to struggle; but, twisting his neck, stared at his friend. And then the NAME chose to advance.

“NAME’s right,” he announced coolly. “This is no place for a scrap. Besides, there’s no reason for one. Orkney, you’re a chump to be peeved at Step for doing you up in Greek, or at me for putting you out at geometry. See here! You’re a pretty good, all-round performer, but you can’t beat specialists at their own specialties. Get that? And there’s no use in being a general sorehead.”

It was eloquent tribute to the NAME’s moral influence that Orkney appeared to be impressed. At all events, though he scowled fiercely, he received the advice in silence. Two or three boys on the outskirts of the group began to move off. To NAME it seemed to be probable that the storm had blown over. He released his hold upon Step’s collar; whereupon[109] Step, still wrathful, took two long strides; found himself beside Orkney; plucked off his opponent’s cap, and sent it flying through the air. It sailed over a fence, struck the trunk of a tree, and dropped to the ground.

Orkney bristled, but NAME already had laid hands upon Step, and was dragging him back.

“Here! Quit all this foolishness!” the peacemaker ordered.

“Make him get that cap, then!” Orkney insisted.

“Won’t!” cried Step, and struggled to break from NAME’s hold.

Again the Shark intervened. “No; it was a kid trick, but now that it’s done, we’ll let it stay done. Orkney, if you hadn’t bulldozed Step, and started the whole thing, the cap would still be on your head. So I guess it’s up to you to put it back there—or let it stay where it is.”

“Sure! It was a DATE’s performance, but the NAME has the right notion,” NAME agreed.

There was an instant in which Orkney hesitated between war and peace. Then he reached a decision which was compromise—and as ORGANIZATION] as compromises often are. He neither gave battle nor retrieved his headgear. Instead, with a parting scowl, which included all the allies, he wheeled, and marched away, bareheaded.

“You, Step, you bring that cap to my house, or you’ll be sorry!” he called back over his shoulder.

“Never!” shouted Step defiantly."
34,"NAME stepped out upon the side porch of his father’s house, closing the door behind him with a slam. There was a frown on his face, which by no means became it; and the corners of his mouth drooped sulkily. He was, as a matter of fact, in a fit of temper, which did not lessen as he surveyed the dull, gray sky, and saw its promise of DATE.

“’Nother spoiled DATE!” he grumbled. “Nowhere to go and nothing to do—oh, thunderation!”

Now, to tell the truth, it may be that the weather had much to do with NAME’s pessimism, just as it often influences persons a great deal older and wiser than this boy of DATE. NAME, commonly, was good-natured enough.[12] DATE, though, things had seemed to go wrong from the very start. He had overslept; one of his shoes had contrived to hide itself under the bureau; his necktie stubbornly had declined to slip into a smooth and even knot; he was late at breakfast, and the oatmeal was cold, and the eggs were as hard as the ORGANIZATION which he was beginning to suspect was pursuing him. He had attempted criticism, and his father had checked him rather sharply with the reminder that the breakfast hour was 7:30 and not 7:50. His mother had not hastened to his defense; and even NAME, the cook, frequently his ally and dispenser of consoling doughnuts and cookies, had failed him when he sought sympathy in the kitchen.

“You got up wrong foot foremost,” she told him. “Get along with you now! This is bakinDATE, and I can’t be bothered.”

NAME, thus repulsed, had clumped out of the kitchen; stormed into the hall; snatched up his cap and reefer; stamped across the dining-room, and flung himself out of the house, without visible improvement in his spirits or his condition. If it was dark within, it was[13] gloomy without. He looked up the street and down; nobody was in sight. He buttoned his coat to the neck, and thrust his hands into his pockets: the world, he perceived, was chilly as well as lonely. Then, of a sudden, he grinned, fleetingly and reluctantly, at vagrant memory of the old story of the child that threatened to go out and eat two smooth worms and three fuzzy fellows because nobody loved it. The baby’s troubles were ridiculously like his own, and for a trying second he realized the resemblance. Then he was frowning harder than ever, with mouth drooping still more sulkily.

In sunnier moods NAME was a good-looking boy. Nobody would have called him pretty; he wasn’t of the “pretty” type, being, indeed, rather wholesome and hearty, with plenty of color in his cheeks—and not a few freckles. For a youth who was rapidly adding to his inches, in the process known as getting his growth, he carried himself well; though, as everybody knows, this period in a boy’s life is not that at which grace of figure or movement is most marked. In other words, there were times when NAME did not know[14] what to do with his hands or his feet, and impressed the painful fact upon all beholders, especially because of a certain impulsiveness, which led him now and then into embarrassing ventures.

Standing on the porch and glowering at all he beheld, NAME was not attractive. NAME, his bull terrier, trotting from the barn, noted the storm signals his master was flying, and halting at a safe distance, made great pretense of scratching for a flea which did not exist. NAME whistled, and NAME grew busier than ever. The boy took an impatient step, and the dog stopped scratching and bolted for the barn.

NAME, striding after him, pulled up abruptly. A thick-set man in cap, and overalls, and boots, and with a carriage rug in one hand and a brush in the other, appeared in the big doorway.

“H’lo, NAME!” was his greeting. “DATE, ain’t it?”

“Good for nothing!” snapped the boy. “Rotten weather!”

The man’s eyes twinkled. They were pleasant eyes, with little fans of fine wrinkles[15] at the corners, and they lighted up his smooth-shaven, weather-beaten face amazingly.

“Huh! Guess you ain’t looked at the calendar lately. This ain’t DATE; it’s DATE. And I’m tellin’ you this is pretty good weather for DATE. What if there ain’t no snow? The wheelin’s all right—your daddy took the car out this mornin’.”

NAME nodded. “I know—he went over to Epworth.”

“Why didn’t you go along?”

“What’d be the use?”

Now, this was not strictly ingenuous. Possibly because of his sulks, NAME had not been invited to accompany his father.

“Sure enough! What’d ’a’ been the use?” said the man with an odd grin.

NAME reddened. “Look here! Bet you I could have gone if I’d wanted to, Lon!”

Lon, otherwise NAME, hired man and general factotum, made no response to the challenge, but fell to dusting the rug vigorously. NAME, gloomy browed, drew nearer.

“Tell you, Lon, I could have gone. NAME] fun, though—ride’s too cold. That’s the trouble with this weather—no coasting, no skating, no football, nothing!”

“So?” said the man non-committally.

Hobe, the barn cat, sauntered out of the door. NAME kicked at the animal, which took refuge behind a wooden bucket standing just inside the sill, and from this cover snarled defiance. Whereupon NAME kicked again. This time his foot struck something—the bucket. Over it went, and out shot a gallon or two of soapy water. Hobe darted back into the barn. Lon moved aside nimbly, but not nimbly enough. Splash! went the water upon his boots.

“ORGANIZATION, now, but you have gone and done it!” he ejaculated. “Nice mess to clean up, ain’t it?”

In NAME’s perverse mood the one thing he cared for was to hide the regret he felt.

“Huh! Oughtn’t to have stuff standing round like that. Why didn’t you tell me?”

Lon paused in his labors. “My! but this world’s awful crowded this mornin’, ain’t it?” he remarked. “First there wasn’t room for you ’n’ Hobe; then you jest couldn’t stand for[17] that NAME’ on your toes. ORGANIZATION, wal!”

NAME snorted wrathfully. What wouldn’t he have given for speech so cuttingly sarcastic that Lon must throw up his hands and beg mercy! But, effective words failing him, he could do no better than offer sounds which were disagreeable rather than intelligible.

Lon chuckled; then grew serious. “See here, NAME!” said he. “I kind o’ guess this is hedgehog day for you, ain’t it?”

“Huh?”

“When you come to think it over,” Lon went on, “a hedgehog’s about the one critter you can’t think of as ever ORGANIZATION’ up nice and cozy to anything or anybody. Now, I knew a feller once that had a tame woodchuck that liked to be patted; and I’ve seen the tigers and big cats in circuses purrin’ round their trainers; but I never heard tell of a hedgehog actin’ real sociable and wantin’ to sit in anybody’s lap. And, so far’s I can rec’lect, I never run across a hedgehog that you’d call all-around popular with the neighbors. Whenever one gets close to anybody, he sticks his spines into him. And when a[18] human gets to actin’ like a hedgehog—why that’s when he’s havin’ a hedgehog day—see?”

“Huh!” said NAME again.

NAME gave the rug another flick with the brush.

“By and large, son,” he remarked, “it ain’t good business to have hedgehog days. I know, I know! When you’re feelin’ that way, that’s the way you feel, as the fox said to the bear in the trap. But you ain’t doin’ yourself no good, and you ain’t any perticular help to the rest of the community.”

“Hang the community!”

“NAME what the hedgehog says,” quoth Lon tranquilly. He carried his rug into the barn; brought out another; brushed skilfully for a minute.

“NAME up some of the boys, NAME,” he advised. “Try lowerin’ your spines, and see if they won’t keep down after a while.”

“Don’t want to.”

“Bad as that, eh?”

NAME disdained to make reply. Lon pursed his lips.

“Sonny, this won’t do. It’s bad medicine.[19] Say, where’ll you be at if you behave like this when you go to NAME?”

“I’ll get along all right.”

Lon brushed furiously for a little. “I—I dunno’s there’s but—but one way—for some folks to learn things,” he said jerkily. “When you’re there—jest one among two-three hundred boys—it’ll be different, now I tell you! We put up with you; they won’t.”

“Huh! Who’s afraid?”

“I’d be—if I was you.”

“Bah!”

Lon shook his head. “NAME,” he said, “if I thought this was a real in-growin’ attack, I’d be worried a heap wuss than I am. But I’m worried enough as it is. Now, I’ll give you a good tip. If you don’t want to see the other boys, go for a good, long tramp. Walk it off! That’s jest what the real hedgehog can’t do—his legs ain’t long enough.”

“No fun walking—day like this.”

Lon was a patient soul. “ORGANIZATION, why don’t you go huntin’, then?”

“What for? Rabbits?”

“If you can’t get anything bigger. But you might land a shot at a deer. ’Member[20] what day this is? First of DATE! Law on deer goes off, and stays off till the fifteenth.”

“Oh!” said NAME. In the new interest he almost forgot, for an instant, that he had a grievance against the universe. But it was only for an instant. “But I wouldn’t have the luck to get a shot at a buck, or a doe, either. The crowd will have started out early, and scared every deer within ten miles of town,” he concluded pessimistically.

“Don’t be too sure of that.”

“’Tis sure!” NAME insisted. “Then what’ll I do for a gun?”

“Got your own, haven’t you?”

“What! Try for a deer with a ‘twenty-two’?”

“Why not? It’s big enough, if it gets to the right spot.”

NAME fell back to his second line of defense. “Well, there’ll be no deer anywhere near town.”

“Who says so?”

“I do!” snapped the boy.

NAME bent toward him, and lowered his voice. “NAME, a feller was tellin’ me last night[21] about a herd that’s been feedin’ in close—right back of old NAME’s barn—big buck and three-four more. Old orchard in there, you know. And that’s so nigh to town most folks won’t look for ’em there. But there they be—or there they were DATE DATE, anyhow. And, by gum! if I was you, I’d scout out that way on the chance—that is, if your mother says it’s all right,” he added hastily.

In spite of himself, NAME’s ambition was fired. A shot at a deer! That would be worth while.

“You—you’re certain they were there DATE?” he asked.

“NAME told me himself. And you can be sure of one thing—he didn’t tell many other folks. NAME ain’t no gossip.”

NAME nodded. He knew something of Mr. NAME’s habit of taciturnity. Doubter though he might be, the prospect was brightening. He had heard old hunters tell stories of cases in which deer had been killed almost in the outskirts of the village, while sportsmen ranging farther afield had been rewarded with sight of neither buck nor doe.

[22]

“Well, I suppose I might as well have a look,” he said not too graciously.

“Of course you might!”

NAME took a step toward the house. “Of course, with my luck——”

“Oh, you never can tell,” Lon reminded him.

“Still, I might as well be wasting time that way as any other,” said NAME sourly, and quickened his pace.

“Don’t forget to tell your mother!” Lon called after him.

NAME waved a hand in reply, and went on to the house."
